timestamp,device,temp_edge_celsius,temp_junction_celsius
1754586504,card4,49.0,43.0
1754586504,card5,46.0,39.0
1754586504,card6,49.0,43.0
1754586504,card7,45.0,39.0
1754586504,
1754586509,card0,53.0,47.0
1754586509,card1,48.0,39.0
1754586509,card2,47.0,41.0
1754586509,card3,52.0,44.0
1754586509,card4,49.0,43.0
1754586509,card5,46.0,39.0
1754586509,card6,49.0,43.0
1754586509,card7,45.0,39.0
1754586509,
1754586514,card0,53.0,46.0
1754586514,card1,48.0,39.0
1754586514,card2,47.0,41.0
1754586514,card3,52.0,44.0
1754586514,card4,49.0,43.0
1754586514,card5,46.0,40.0
1754586514,card6,49.0,43.0
1754586514,card7,45.0,39.0
1754586514,
1754586519,card0,53.0,46.0
1754586519,card1,48.0,39.0
1754586519,card2,47.0,41.0
1754586519,card3,52.0,44.0
1754586519,card4,49.0,43.0
1754586519,card5,46.0,39.0
1754586519,card6,50.0,44.0
1754586519,card7,45.0,39.0
1754586519,
1754586524,card0,53.0,46.0
1754586524,card1,48.0,39.0
1754586524,card2,47.0,41.0
1754586524,card3,52.0,44.0
1754586524,card4,49.0,43.0
1754586524,card5,46.0,39.0
1754586524,card6,49.0,43.0
1754586524,card7,45.0,39.0
1754586524,
1754586529,card0,53.0,47.0
1754586529,card1,48.0,39.0
1754586529,card2,47.0,41.0
1754586529,card3,52.0,44.0
1754586529,card4,49.0,43.0
1754586529,card5,46.0,39.0
1754586529,card6,50.0,43.0
1754586529,card7,45.0,39.0
1754586529,
1754586535,card0,55.0,62.0
1754586535,card1,48.0,39.0
1754586535,card2,47.0,41.0
1754586535,card3,52.0,44.0
1754586535,card4,49.0,43.0
1754586535,card5,46.0,40.0
1754586535,card6,50.0,44.0
1754586535,card7,45.0,39.0
1754586535,
1754586540,card0,60.0,68.0
1754586540,card1,48.0,39.0
1754586540,card2,47.0,41.0
1754586540,card3,52.0,44.0
1754586540,card4,49.0,43.0
1754586540,card5,46.0,39.0
1754586540,card6,50.0,44.0
1754586540,card7,45.0,39.0
1754586540,
1754586545,card0,62.0,69.0
1754586545,card1,48.0,39.0
1754586545,card2,47.0,41.0
1754586545,card3,52.0,44.0
1754586545,card4,49.0,43.0
1754586545,card5,46.0,39.0
1754586545,card6,50.0,44.0
1754586545,card7,45.0,39.0
1754586545,
1754586550,card0,64.0,71.0
1754586550,card1,48.0,39.0
1754586550,card2,47.0,41.0
1754586550,card3,52.0,44.0
1754586550,card4,49.0,43.0
1754586550,card5,46.0,39.0
1754586550,card6,50.0,44.0
1754586550,card7,45.0,39.0
1754586550,
1754586555,card0,65.0,71.0
1754586555,card1,48.0,39.0
1754586555,card2,47.0,41.0
1754586555,card3,52.0,44.0
1754586555,card4,49.0,43.0
1754586555,card5,46.0,39.0
1754586555,card6,50.0,44.0
1754586555,card7,45.0,39.0
1754586555,
1754586560,card0,65.0,73.0
1754586560,card1,48.0,39.0
1754586560,card2,47.0,41.0
1754586560,card3,52.0,44.0
1754586560,card4,49.0,43.0
1754586560,card5,46.0,39.0
1754586560,card6,50.0,43.0
1754586560,card7,45.0,39.0
1754586560,
1754586565,card0,65.0,72.0
1754586565,card1,47.0,39.0
1754586565,card2,47.0,41.0
1754586565,card3,52.0,44.0
1754586565,card4,49.0,42.0
1754586565,card5,46.0,39.0
1754586565,card6,49.0,43.0
1754586565,card7,45.0,38.0
1754586565,
1754586571,card0,66.0,73.0
1754586571,card1,47.0,39.0
1754586571,card2,47.0,40.0
1754586571,card3,51.0,43.0
1754586571,card4,48.0,42.0
1754586571,card5,46.0,38.0
1754586571,card6,49.0,43.0
1754586571,card7,45.0,38.0
1754586571,
1754586576,card0,64.0,64.0
1754586576,card1,47.0,38.0
1754586576,card2,46.0,40.0
1754586576,card3,51.0,43.0
1754586576,card4,48.0,42.0
1754586576,card5,45.0,39.0
1754586576,card6,48.0,43.0
1754586576,card7,44.0,38.0
1754586576,
1754586581,card0,64.0,72.0
1754586581,card1,46.0,38.0
1754586581,card2,46.0,40.0
1754586581,card3,50.0,42.0
1754586581,card4,47.0,41.0
1754586581,card5,45.0,38.0
1754586581,card6,48.0,42.0
1754586581,card7,44.0,38.0
1754586581,
1754586586,card0,64.0,71.0
1754586586,card1,46.0,37.0
1754586586,card2,46.0,39.0
1754586586,card3,50.0,42.0
1754586586,card4,47.0,41.0
